lat_start,lng_start,lat_end,lng_end,dist_in_meters
48.1421306,11.5346491,49.1455336,11.8564038,147235.28500000003
48.1421306,11.5346491,49.1441668,11.8596025,147310.66600000003
48.1421306,11.5346491,49.1450745,11.8587103,147189.64900000003
48.1421306,11.5346491,49.1440433,11.8566101,218545.53600000002
48.1421306,11.5346491,49.1444154,11.8561902,218494.10400000002
48.1421306,11.5346491,49.146091,11.855215,218288.08500000002
48.1421306,11.5346491,49.8270417,11.4985797,312898.985
48.1421306,11.5346491,50.0598285,10.9672567,273833.707
48.1421306,11.5346491,49.6711147,12.1349133,202610.22300000006
48.1421306,11.5346491,49.8285983,11.5006652,215061.22500000003
48.1421306,11.5346491,49.8294748,11.4997168,215114.98300000004
48.1421306,11.5346491,49.382795,11.1443503,161514.33000000007
48.1421306,11.5346491,49.3812452,11.1415995,161778.53400000007
48.1421306,11.5346491,49.3802802,11.1400391,161934.33400000006
48.1421306,11.5346491,49.3773228,11.1355121,158682.149
48.1421306,11.5346491,49.3758149,11.1335619,158901.525
48.1421306,11.5346491,49.3781948,11.1368377,158545.725
48.1421306,11.5346491,49.3789125,11.1388021,158136.475
48.1421306,11.5346491,49.3750418,11.1414343,159606.30500000002
48.1421306,11.5346491,49.4231555,11.0378835,167538.48599999998
48.1421306,11.5346491,49.4844785,10.7865036,188800.852
48.1421306,11.5346491,49.4274046,11.0637976,166743.18899999998
48.1421306,11.5346491,50.326835,12.0227485,289439.118
48.1421306,11.5346491,49.1089087,10.9987283,196216.53499999997
48.1421306,11.5346491,49.1096,10.9994767,196122.31999999998
48.1421306,11.5346491,49.9506392,12.2079567,322112.66900000017
48.1421306,11.5346491,49.4845369,10.7859659,191237.102
48.1421306,11.5346491,49.1116659,11.0024587,195805.846
48.1421306,11.5346491,47.6539154,10.4608953,161763.18399999998
48.1421306,11.5346491,49.1115152,11.0011256,195906.103
48.1421306,11.5346491,49.1097819,11.0012981,196436.36599999998
48.1421306,11.5346491,48.8368095,12.9577499,146204.98100000006
48.1421306,11.5346491,50.003091,12.1137081,247132.81400000007
48.1421306,11.5346491,49.1109959,11.0013698,195914.63499999998
48.1421306,11.5346491,48.8368445,12.9576075,147026.20400000009
48.1421306,11.5346491,49.5588153,10.9978432,185995.737
48.1421306,11.5346491,49.3778793,11.1358233,159088.803
48.1421306,11.5346491,49.1565563,12.1123116,140865.17900000006
48.1421306,11.5346491,49.8405489,10.0088323,278562.1819999999
48.1421306,11.5346491,49.3945444,11.0893541,162262.96800000002
48.1421306,11.5346491,50.0339005,11.474934,251466.21300000002
48.1421306,11.5346491,49.9113466,10.9405003,229956.66199999998
48.1421306,11.5346491,50.0318859,11.4698042,251897.208
48.1421306,11.5346491,50.0187634,10.9491663,278700.235
48.1421306,11.5346491,49.819494,9.9812744,280764.89299999987
48.1421306,11.5346491,49.4147298,11.065885,168442.71799999996
48.1421306,11.5346491,49.9221313,10.9267057,234968.59199999998
48.1421306,11.5346491,50.0211332,10.9498678,278431.583
48.1421306,11.5346491,49.8194748,9.9814203,280722.51899999985
48.1421306,11.5346491,49.8196373,9.9815049,280741.69899999985
48.1421306,11.5346491,49.3214118,11.045225,167827.58499999996
48.1421306,11.5346491,49.4086641,11.0701451,169297.10199999996
48.1421306,11.5346491,49.9312704,10.7782688,329633.3449999998
48.1421306,11.5346491,49.9320369,10.7772674,329521.8999999998
48.1421306,11.5346491,49.7796606,10.0909998,266611.37
48.1421306,11.5346491,49.2750779,12.1298325,154663.8340000001
48.1421306,11.5346491,50.2284247,10.9760172,276506.5789999999
48.1421306,11.5346491,50.2282834,10.9763332,276479.1349999999
48.1421306,11.5346491,49.4700231,11.187229,169169.02900000004
48.1421306,11.5346491,50.228163,10.9772134,276413.9349999999
48.1421306,11.5346491,50.2289083,10.9777365,276311.17099999986
48.1421306,11.5346491,49.4544137,12.1911344,192685.85700000005
48.1421306,11.5346491,49.9102848,9.9973249,309709.457
48.1421306,11.5346491,48.1816279,12.826405,120387.079
48.1421306,11.5346491,49.3835723,11.3395345,194590.04099999997
48.1421306,11.5346491,49.7864335,10.082271,266873.33400000003
48.1421306,11.5346491,49.5131077,10.1970028,299549.333
48.1421306,11.5346491,49.512003,10.1960056,299700.35699999996
48.1421306,11.5346491,49.5112938,10.1957785,299789.50299999997
48.1421306,11.5346491,49.3955952,11.9858787,223987.3990000001
48.1421306,11.5346491,50.1309085,11.0450869,260830.66700000002
48.1421306,11.5346491,49.5112234,10.1971548,299759.17
48.1421306,11.5346491,49.5092345,10.1973752,270396.50299999997
48.1421306,11.5346491,49.8009892,9.9617742,276803.99600000004
48.1421306,11.5346491,49.3318821,11.0637837,166772.26599999997
48.1421306,11.5346491,49.3317865,11.0587251,299171.44999999984
48.1421306,11.5346491,47.6547547,10.4660612,205867.517
48.1421306,11.5346491,49.510382,10.198462,270555.65699999995
48.1421306,11.5346491,49.5111715,10.1987075,270653.25999999995
48.1421306,11.5346491,49.5114201,10.1986265,270681.51499999996
48.1421306,11.5346491,49.2192484,11.0845996,186572.45599999995
48.1421306,11.5346491,49.2193187,11.0846189,186516.04399999994
48.1421306,11.5346491,49.5112579,10.1973057,270621.551
48.1421306,11.5346491,49.6489097,10.144892,282199.13999999996
48.1421306,11.5346491,49.4483789,10.9995034,171734.89899999998
48.1421306,11.5346491,49.6502126,10.1449996,282079.24799999996
48.1421306,11.5346491,49.6513191,10.145532,288378.91699999996
48.1421306,11.5346491,49.6506912,10.1465292,288271.11399999994
48.1421306,11.5346491,49.6497066,12.1496069,199975.72600000002
48.1421306,11.5346491,49.650411,10.1448081,288333.7569999999
48.1421306,11.5346491,50.0081242,12.1087346,247816.33300000007
48.1421306,11.5346491,50.3709792,11.8919866,303388.4240000001
48.1421306,11.5346491,47.6420916,10.5286962,201113.763
48.1421306,11.5346491,47.6421484,10.5273205,201010.36800000002
48.1421306,11.5346491,50.0305349,10.2627959,284451.637
48.1421306,11.5346491,47.6410392,10.5254295,201005.718
48.1421306,11.5346491,50.0306931,10.2632605,284413.98
48.1421306,11.5346491,50.3102955,12.0237521,287987.761
48.1421306,11.5346491,50.0267942,12.1188982,250070.63800000006
48.1421306,11.5346491,49.0005392,12.1774538,129093.49800000002
48.1421306,11.5346491,50.0299416,12.1162324,250473.29000000007
48.1421306,11.5346491,50.3109812,12.0218542,306029.6200000001
48.1421306,11.5346491,49.9305344,10.7826757,243363.33900000004
48.1421306,11.5346491,49.826436,11.4994095,312937.85
48.1421306,11.5346491,48.7396187,10.7570944,120255.132
48.1421306,11.5346491,49.9777391,12.1348528,315450.35600000015
48.1421306,11.5346491,49.9298631,10.915877,232678.276
48.1421306,11.5346491,49.6227812,10.1748793,284090.38099999994
48.1421306,11.5346491,49.4059845,11.3069834,257110.15300000005
48.1421306,11.5346491,49.4249873,11.6828035,227708.84200000003
48.1421306,11.5346491,49.4247644,11.6833737,193828.36500000008
48.1421306,11.5346491,49.9135008,10.9382588,236239.914
48.1421306,11.5346491,49.3973802,11.8565514,214086.62000000005
48.1421306,11.5346491,49.2449272,10.2182791,333238.46599999984
48.1421306,11.5346491,47.5688387,10.2430488,202895.56399999998
48.1421306,11.5346491,50.1399152,11.0705473,262896.941
48.1421306,11.5346491,50.1406168,11.0728322,263077.826
48.1421306,11.5346491,49.5194199,12.1632779,183796.59900000007
48.1421306,11.5346491,50.1494927,11.0847795,264388.871
48.1421306,11.5346491,50.1505039,11.0871727,264593.56799999997
48.1421306,11.5346491,49.0717713,12.1583545,133708.74100000004
48.1421306,11.5346491,49.0712681,12.1579748,133479.93300000005
48.1421306,11.5346491,50.0123666,10.9411102,279779.359
48.1421306,11.5346491,49.0712502,12.1575043,133445.60100000005
48.1421306,11.5346491,50.0118164,10.9412285,279714.555
48.1421306,11.5346491,49.6731678,12.1314542,209849.15600000008
48.1421306,11.5346491,48.9598586,12.542356,170242.45400000003
48.1421306,11.5346491,49.7975449,11.0282189,215152.55499999996
48.1421306,11.5346491,49.3938059,11.1896362,157917.11600000007
48.1421306,11.5346491,48.2507988,13.0019253,125039.66500000001
48.1421306,11.5346491,49.8038434,9.9641277,282574.84999999986
48.1421306,11.5346491,49.9272494,10.9188364,234167.28999999998
48.1421306,11.5346491,50.371377,11.8947539,303186.4310000001
48.1421306,11.5346491,49.7369291,10.7905858,320099.79000000004
48.1421306,11.5346491,48.8394512,12.1137787,114871.8
48.1421306,11.5346491,49.8003123,9.9641433,276617.96300000005
48.1421306,11.5346491,49.7960477,9.9904307,274637.271
48.1421306,11.5346491,49.585604,10.9267713,229178.3539999999
48.1421306,11.5346491,47.6666218,10.204023,165447.99399999998
48.1421306,11.5346491,49.3618802,11.1993787,153043.138
48.1421306,11.5346491,49.5550542,10.9924272,187383.752
48.1421306,11.5346491,49.5205178,10.9921461,192318.701
48.1421306,11.5346491,49.5774866,10.9308045,191617.52800000002
48.1421306,11.5346491,49.4784674,11.0080655,196080.978
48.1421306,11.5346491,50.3253179,12.0231236,304078.27000000014
48.1421306,11.5346491,49.9125251,10.9377511,236324.56199999998
48.1421306,11.5346491,49.3511849,11.2012701,159385.514
48.1421306,11.5346491,50.1317064,11.0453161,260848.546
48.1421306,11.5346491,49.2822033,11.5777471,175422.52900000004
48.1421306,11.5346491,49.2835727,11.5688609,189595.331
48.1421306,11.5346491,49.2827712,11.5788536,175392.44500000004
48.1421306,11.5346491,49.2818725,11.5799449,175258.90400000004
48.1421306,11.5346491,49.6491102,11.4389011,336605.652
48.1421306,11.5346491,47.6440474,10.112046,172987.76199999996
48.1421306,11.5346491,50.3712396,11.8977198,302969.3720000001
48.1421306,11.5346491,47.6524407,10.4644831,162087.985
48.1421306,11.5346491,49.8586299,12.1787982,334041.06900000013
48.1421306,11.5346491,50.0294554,10.2670791,289203.82999999984
48.1421306,11.5346491,49.8589385,12.1787917,333936.39300000016
48.1421306,11.5346491,49.0874332,12.0982932,132548.13900000005
48.1421306,11.5346491,49.0901202,12.096363,132878.33200000005
48.1421306,11.5346491,50.0301467,10.2678841,289232.01899999985
48.1421306,11.5346491,49.0744084,12.0981878,194989.16400000008
48.1421306,11.5346491,50.1491792,11.0860312,264520.006
48.1421306,11.5346491,49.5182361,12.1647215,183628.1520000001
48.1421306,11.5346491,50.2047307,10.971208,277086.0769999999
48.1421306,11.5346491,50.2009944,10.968221,271332.0829999999
48.1421306,11.5346491,50.0304994,10.2649393,284267.995
48.1421306,11.5346491,50.0300646,10.2660763,284164.098
48.1421306,11.5346491,50.2683024,10.1943796,324454.06100000005
48.1421306,11.5346491,49.9309104,10.9147593,232819.573
48.1421306,11.5346491,50.3702921,11.894764,303203.9900000001
48.1421306,11.5346491,50.2794137,10.9629158,285497.11199999985
48.1421306,11.5346491,47.8824581,10.2472503,164072.009
48.1421306,11.5346491,47.881132,10.2466913,163916.302
48.1421306,11.5346491,47.8830126,10.246185,153789.96999999994
48.1421306,11.5346491,47.8823921,10.2453145,153903.17299999995
48.1421306,11.5346491,47.882887,10.2445102,153987.73399999994
48.1421306,11.5346491,49.9283957,10.9154722,234247.03699999998
48.1421306,11.5346491,47.8826233,10.2447262,153954.27199999994
48.1421306,11.5346491,47.8812989,10.2464679,153981.69699999996
48.1421306,11.5346491,49.5820711,10.9867936,241630.357
48.1421306,11.5346491,47.8101823,10.302609,154584.68
48.1421306,11.5346491,49.581835,10.9868919,241525.97
48.1421306,11.5346491,49.3128728,12.162657,164399.00200000004
48.1421306,11.5346491,49.3133721,12.1617617,164490.96900000004
48.1421306,11.5346491,49.9481911,12.2139443,236661.48900000006
48.1421306,11.5346491,48.1841061,12.8228359,120819.628
48.1421306,11.5346491,47.5708308,10.2436563,189115.30000000002
48.1421306,11.5346491,49.3138402,12.1594653,164678.51000000004
