,lat_start,lng_start,lat_end,lng_end,dist_in_meters
0,48.1421306,11.5346491,49.1455336,11.8564038,147235.28500000003
1,48.1421306,11.5346491,49.1441668,11.8596025,147310.66600000003
2,48.1421306,11.5346491,49.1450745,11.8587103,147189.64900000003
3,48.1421306,11.5346491,49.1440433,11.8566101,218545.53600000002
4,48.1421306,11.5346491,49.1444154,11.8561902,218494.10400000002
5,48.1421306,11.5346491,49.146091,11.855215,218288.08500000002
6,48.1421306,11.5346491,49.8270417,11.4985797,312898.985
7,48.1421306,11.5346491,50.0598285,10.9672567,273833.707
8,48.1421306,11.5346491,49.6711147,12.1349133,202610.22300000006
9,48.1421306,11.5346491,49.8285983,11.5006652,215061.22500000003
10,48.1421306,11.5346491,49.8294748,11.4997168,215114.98300000004
11,48.1421306,11.5346491,49.382795,11.1443503,161514.33000000007
12,48.1421306,11.5346491,49.3812452,11.1415995,161778.53400000007
13,48.1421306,11.5346491,49.3802802,11.1400391,161934.33400000006
14,48.1421306,11.5346491,49.3773228,11.1355121,158682.149
15,48.1421306,11.5346491,49.3758149,11.1335619,158901.525
16,48.1421306,11.5346491,49.3781948,11.1368377,158545.725
17,48.1421306,11.5346491,49.3789125,11.1388021,158136.475
18,48.1421306,11.5346491,49.3750418,11.1414343,159606.30500000002
19,48.1421306,11.5346491,49.4231555,11.0378835,167538.48599999998
20,48.1421306,11.5346491,49.4844785,10.7865036,188800.852
21,48.1421306,11.5346491,49.4274046,11.0637976,166743.18899999998
22,48.1421306,11.5346491,50.326835,12.0227485,289439.118
23,48.1421306,11.5346491,49.1089087,10.9987283,196216.53499999997
24,48.1421306,11.5346491,49.1096,10.9994767,196122.31999999998
25,48.1421306,11.5346491,49.9506392,12.2079567,322112.66900000017
26,48.1421306,11.5346491,49.4845369,10.7859659,191237.102
27,48.1421306,11.5346491,49.1116659,11.0024587,195805.846
28,48.1421306,11.5346491,47.6539154,10.4608953,161763.18399999998
29,48.1421306,11.5346491,49.1115152,11.0011256,195906.103
30,48.1421306,11.5346491,49.1097819,11.0012981,196436.36599999998
31,48.1421306,11.5346491,48.8368095,12.9577499,146204.98100000006
32,48.1421306,11.5346491,50.003091,12.1137081,247132.81400000007
