,node,in_degree,out_degree
314,1694730472,1,1
315,268339431,1,1
316,268339432,1,1
317,485230828,2,2
318,3140651246,2,2
319,82741492,2,1
320,485230838,2,2
321,114264331,2,2
322,1935634,2,2
323,1935639,1,1
324,114264355,1,2
325,177539364,1,1
326,1089505582,1,1
327,114264370,2,1
328,276924733,1,1
329,27658558,2,3
330,276924735,1,1
331,27658563,2,3
332,12454218,1,1
333,348653900,1,1
334,12454239,2,1
335,4649224545,1,1
336,12454243,1,2
337,12454247,2,2
338,12454249,2,2
339,258509162,1,1
340,256936302,1,1
341,2106263919,2,2
342,267880813,2,2
343,258509165,2,1
344,267880821,1,2
345,258509173,2,3
346,95717759,1,1
347,256018816,1,1
348,2118977927,2,1
349,2118977931,2,2
350,1985776024,2,2
351,267880862,2,1
352,313035173,1,1
353,267880874,3,3
354,271780284,1,2
355,256018890,2,2
356,2503674328,1,1
357,256018910,1,1
358,2465729002,2,2
359,177605112,1,2
360,177605113,2,1
361,320113158,1,1
362,286525970,1,1
363,256018971,1,1
364,256018976,1,1
365,299731489,1,1
366,290261543,2,2
367,3152775728,2,1
368,666143313,2,2
369,2099284564,2,2
370,41716315,1,1
371,256019043,1,2
372,17205863,2,3
373,41716332,1,1
374,312412782,2,2
375,21105297,1,2
376,41716372,1,1
377,109709988,1,1
378,21105331,1,1
379,413698740,2,1
380,413698741,1,2
381,413698742,1,2
382,41716427,1,1
383,41716429,1,1
384,21105360,1,2
385,41716441,1,1
386,41716444,1,1
387,21105384,1,1
388,41716459,1,1
389,41716463,1,1
390,177605358,1,1
391,2739440369,2,2
392,293473020,1,1
393,293473023,1,1
394,2788494083,2,2
395,288525059,1,2
396,2788494086,1,2
397,293473033,2,1
398,293473035,1,1
399,1015974678,1,1
400,1557367577,1,2
401,26020637,2,1
402,2302937903,1,1
403,1557367602,1,2
404,2576124723,1,1
405,2260306740,2,2
406,1816464182,1,1
407,1557367604,1,2
408,652806969,1,1
409,1015974716,1,1
410,2349075261,2,2
411,1015974720,1,1
412,11307843,1,1
413,148933445,1,1
414,2046495568,1,2
415,1372359529,1,1
416,5572889466,1,1
417,1557367675,2,2
418,177539966,2,1
419,258509694,2,2
420,5572889480,1,1
421,177539988,1,1
422,387451801,2,3
423,387451819,2,2
424,178949038,1,1
425,376015791,2,1
426,27069361,1,1
427,1557367732,2,1
428,21760961,2,1
429,1089506246,1,1
430,27069384,1,1
431,27069385,1,1
432,1557367753,1,1
433,249072592,2,3
434,27069393,1,1
435,320146386,2,2
436,249072598,3,2
437,320146398,1,1
438,27069416,1,1
439,1596656617,1,1
440,177540072,1,2
441,1937804267,1,1
442,265197,1,1
443,430410734,1,1
444,27069426,2,1
445,430410737,1,1
446,570264582,3,2
447,1484524554,2,1
448,269716492,1,2
449,1596656653,1,2
450,1596656675,1,1
451,14388263,2,1
452,14388264,1,2
453,21531699,1,1
454,12454966,1,2
455,12454974,1,1
456,292949057,2,2
457,331484247,1,1
458,1648594009,1,1
459,317361247,1,1
460,1372359775,1,1
461,429198436,2,2
462,319491172,1,1
463,319491178,1,1
464,69536879,2,2
465,2130873481,2,1
466,1438682272,2,1
467,3152809131,1,2
468,177507499,2,1
469,2130873530,2,1
470,3126725831,2,2
471,12455112,1,1
472,12455113,1,1
473,1107332302,1,1
474,3221818588,1,2
475,265437,1,1
476,265441,1,1
477,12455138,1,1
478,461573350,2,2
479,1107332328,1,1
480,12455146,1,1
481,2214530313,1,1
482,268340498,1,1
483,1467944212,2,1
484,1692306712,1,1
485,75664669,1,1
486,1572998454,1,2
487,3005910326,2,2
488,3291843901,1,2
489,12455233,2,1
490,2375945541,2,2
491,10718542,2,2
492,12455248,2,1
493,319524198,1,1
494,319524203,1,1
495,1618939251,2,2
496,265653622,2,2
497,308219301,2,2
498,3316583849,2,2
499,308219306,2,1
500,119803319,1,1
501,1058803144,1,1
502,1058803189,1,1
503,69471735,1,2
504,352685565,1,1
505,352685570,1,1
506,366546436,1,1
507,366546441,1,1
508,2983431693,1,1
509,257363475,2,2
510,260214293,1,1
511,257363479,3,2
512,257363480,1,1
513,1058803232,1,1
514,244420137,3,3
515,244420164,2,1
516,244420171,1,2
517,61083214,1,1
518,399216218,1,1
519,271421025,1,2
520,632327791,2,3
521,2490994298,1,1
522,6032199292,1,1
523,6032199298,1,1
524,292949649,3,2
525,319524511,1,1
526,319524516,1,1
527,1913949867,2,1
528,2062356139,1,1
529,206114497,1,1
530,988778188,1,1
531,3172437713,2,1
532,445189856,1,1
533,445189860,1,2
534,3316584168,2,2
535,278728429,1,2
536,278728440,2,2
537,293441274,1,1
538,1677692667,1,1
539,3137244925,1,1
540,293441279,1,1
541,289214210,2,2
542,278728462,2,2
543,29986581,2,1
544,319754004,1,1
545,278728470,2,2
546,2670104347,1,1
547,319754012,1,1
548,57872157,2,2
549,3336441637,1,1
550,2462093096,2,2
551,533827375,3,2
552,278728497,1,1
553,30674752,1,1
554,30674756,2,2
555,321392454,1,2
556,544968548,2,2
557,248844141,1,1
558,544968574,2,2
559,106139523,1,1
560,482643845,2,3
561,544968583,1,1
562,2421919624,2,3
563,662474633,3,2
564,482643849,3,2
565,106139531,2,2
566,662474639,2,2
567,1550749584,2,1
568,662474647,2,3
569,256872344,1,1
570,106139547,2,1
571,17305510,1,2
572,232722366,2,2
573,662474692,2,2
574,21532629,1,1
575,21532630,1,1
576,177508323,2,2
577,177508324,2,1
578,267882467,1,2
579,272044016,1,1
580,267882484,2,1
581,267882487,1,2
582,1366986744,2,1
583,1366986751,2,1
584,1366986753,1,2
585,1366986756,2,2
586,1713967110,1,1
587,267882500,2,1
588,271421450,1,1
589,268341265,1,2
590,268341268,2,1
591,1366986773,1,1
592,1366986774,2,2
593,1366986775,2,2
594,2422149148,1,1
595,1713967134,1,1
596,8851497,1,1
597,69472343,2,2
598,2539327578,2,2
599,373526623,2,2
600,1440419952,1,2
601,25530491,2,1
602,90476722,2,2
603,90476727,2,1
604,90476733,1,2
605,2422313150,2,2
606,1694437593,1,2
607,1679823070,2,1
608,84775147,2,1
609,240783596,1,1
610,1694437613,2,2
611,331485440,1,2
612,177508619,1,2
613,148934925,2,1
614,25301268,2,2
615,309596437,2,2
616,25301269,1,1
617,703861020,2,2
618,148934942,2,2
619,21729570,1,1
620,148934948,1,1
621,30216493,1,1
622,703861042,1,1
623,316084534,1,1
624,703861054,2,2
625,1679823169,2,1
626,1061785924,2,2
627,21729614,2,2
628,3164279122,2,1
629,97620308,2,2
630,27365732,2,2
631,27365734,2,2
632,97620330,1,1
633,293441900,1,1
634,97620337,2,1
635,1281954197,1,1
636,430608791,1,1
637,68850072,1,1
638,363565466,1,1
639,301502877,1,1
640,68850082,1,1
641,260411813,1,1
642,1806766,1,1
643,75665850,1,2
644,374149567,1,1
645,2822593,1,1
646,2043187660,2,1
647,1641583092,2,1
648,8851960,1,2
649,316084728,2,1
650,472781315,3,2
651,6875943438,1,1
652,728338958,1,1
653,316084764,2,2
654,281350685,1,2
655,5638525503,1,1
656,1559106118,1,1
657,313397832,1,1
658,1559106139,1,1
659,808489572,3,2
660,198316650,1,2
661,281219705,1,1
662,298717817,2,2
663,298717819,2,1
664,298717821,1,2
665,3140915841,2,1
666,298717829,2,2
667,298717832,2,1
668,298717833,1,2
669,107745971,2,1
670,3053720250,2,1
671,269587131,3,2
672,207098558,1,1
673,3053720256,1,1
674,268341962,1,1
675,268341968,1,1
676,17208023,1,2
677,21140190,1,2
678,3033797344,2,2
679,271422187,1,1
680,30413580,1,2
681,1130763024,1,1
682,30413584,2,2
683,30413593,1,1
684,1708692253,2,2
685,301503262,1,1
686,936645416,1,1
687,1649447722,1,2
688,301503279,1,1
689,2587366200,1,2
690,270996283,2,1
691,1649447743,2,1
692,248484684,1,2
693,1708692320,2,1
694,1649447776,2,1
695,1559106411,1,1
696,1649447803,1,2
697,1649447805,2,1
698,4716893078,1,1
699,4716893096,1,1
700,365486,2,2
701,331486138,2,2
702,331486148,2,1
703,129962949,1,1
704,293442507,1,1
705,298488780,2,2
706,293442514,1,1
707,1595216861,1,2
708,294163426,2,2
709,294163431,2,2
710,294163434,2,2
711,294163435,1,1
712,371463149,3,2
713,221549574,1,2
714,885855241,2,2
715,1595216908,2,2
716,1595216913,1,1
717,1642927123,1,1
718,198251544,1,1
719,17306650,1,2
720,1966674975,1,1
721,1607570479,1,2
722,1607570480,1,2
723,885855280,2,2
724,2066027586,2,2
725,484709447,1,1
726,198251596,2,2
727,43586638,1,1
728,484709473,1,1
729,267883621,1,2
730,75666534,2,2
731,267883627,2,2
732,2599851142,1,1
733,267883680,1,1
734,17208482,2,2
735,270439586,2,2
736,675484839,1,1
737,3148944552,1,1
738,270439594,1,1
739,178984120,1,2
740,234691,1,2
741,369726661,2,1
742,667325638,1,1
743,667325639,1,1
