lat_start,lng_start,lat_end,lng_end,dist_in_meters
49.4515995,11.0380166,48.0348491,10.1317757,309399.0960000001
49.4515995,11.0380166,50.001664,10.0776839,124963.19900000002
49.4515995,11.0380166,47.6806742,10.3027595,349701.59400000004
49.4515995,11.0380166,49.3618802,11.1993787,49093.437000000005
49.4515995,11.0380166,49.4784674,11.0080655,13370.743999999999
49.4515995,11.0380166,49.3511849,11.2012701,54404.419000000016
49.4515995,11.0380166,50.4236306,10.3543678,170860.047
49.4515995,11.0380166,50.020587,11.4134333,127084.626
49.4515995,11.0380166,47.6092809,12.1993041,285810.84600000014
49.4515995,11.0380166,48.131698,11.400923,315668.63700000016
49.4515995,11.0380166,48.1291276,11.4023601,205192.0890000001
49.4515995,11.0380166,48.1426007,11.3950438,316957.36100000015
49.4515995,11.0380166,49.406242,11.0717823,53649.945
49.4515995,11.0380166,50.3278506,11.7991039,211525.8179999999
49.4515995,11.0380166,48.0943114,11.5885573,225663.7560000001
49.4515995,11.0380166,48.1113405,11.6153808,224539.12600000008
49.4515995,11.0380166,50.0206632,11.4069591,127548.367
49.4515995,11.0380166,48.1493437,11.3945678,317710.72500000015
49.4515995,11.0380166,49.4452583,11.0534571,1326.045
49.4515995,11.0380166,48.5820068,11.5959082,144681.66
49.4515995,11.0380166,49.7261078,9.8253906,118543.29900000003
49.4515995,11.0380166,50.3799457,11.9637023,197397.96899999992
49.4515995,11.0380166,48.1777302,11.5946593,191372.36500000002
49.4515995,11.0380166,49.4046901,11.0723677,54220.963
49.4515995,11.0380166,49.4785162,11.0082367,4040.6009999999997
49.4515995,11.0380166,49.4840088,11.0040079,12681.842999999999
49.4515995,11.0380166,49.4848548,11.003838,4816.169
49.4515995,11.0380166,49.7282262,9.8256764,118306.72700000003
49.4515995,11.0380166,50.3479692,9.749897,174753.11899999998
49.4515995,11.0380166,48.139188,11.6456726,207250.19400000002
49.4515995,11.0380166,48.8337564,12.9541248,196640.078
49.4515995,11.0380166,48.4444943,10.208803,297345.13200000004
49.4515995,11.0380166,50.0204841,10.1609822,149849.497
49.4515995,11.0380166,50.0605114,10.1502738,124415.42200000004
49.4515995,11.0380166,49.2532396,11.2153105,58615.349
49.4515995,11.0380166,50.0013565,10.0793083,123921.15500000003
49.4515995,11.0380166,48.1687105,11.4511133,200591.1350000001
49.4515995,11.0380166,48.2448272,12.8339944,286956.6549999999
49.4515995,11.0380166,47.7681956,12.9377137,329747.0850000001
49.4515995,11.0380166,49.6338565,12.4899672,147098.72099999996
49.4515995,11.0380166,48.0657966,11.001567,282977.37900000013
49.4515995,11.0380166,48.0659575,11.008404,283487.02400000015
49.4515995,11.0380166,49.2502362,11.2160124,58953.176
49.4515995,11.0380166,50.3280242,11.7995606,152599.08800000002
49.4515995,11.0380166,48.0270815,11.6485875,215396.3640000001
49.4515995,11.0380166,47.9933227,10.1431797,305625.981
49.4515995,11.0380166,50.3857722,11.9690109,166929.265
49.4515995,11.0380166,49.112775,10.2315391,133658.249
49.4515995,11.0380166,50.0251333,11.5999271,112868.791
49.4515995,11.0380166,48.2319761,11.5423283,192399.53800000003
49.4515995,11.0380166,48.2313493,11.5424242,186930.82000000004
49.4515995,11.0380166,49.2063181,10.1428661,128166.15900000001
49.4515995,11.0380166,48.5819265,11.5954832,188274.10900000003
49.4515995,11.0380166,47.6876814,10.3631447,345096.24600000004
49.4515995,11.0380166,50.4082803,11.7754678,163097.56800000003
49.4515995,11.0380166,47.8065318,12.0943627,261688.5150000001
49.4515995,11.0380166,50.0261064,11.5974501,113052.72700000001
49.4515995,11.0380166,48.0324205,11.6695521,213671.59600000008
49.4515995,11.0380166,49.7732979,9.7125043,124865.26800000004
49.4515995,11.0380166,48.2595528,12.1648562,234252.84299999996
49.4515995,11.0380166,48.2576637,12.1583322,233724.52399999998
49.4515995,11.0380166,50.3796353,11.9635236,166557.837
49.4515995,11.0380166,48.0302385,11.6654072,235063.7040000001
49.4515995,11.0380166,48.4139151,13.4211204,259131.64099999997
49.4515995,11.0380166,48.0271228,11.6426765,233258.4710000001
49.4515995,11.0380166,50.2915872,10.9805556,110055.48600000002
49.4515995,11.0380166,48.1245878,11.5128173,213726.9260000001
47.6805662,10.3010335,49.4515995,11.0380166,351527.3120000001
48.0352222,10.1316588,49.4515995,11.0380166,311569.15400000016
49.1106356,10.2296175,49.4515995,11.0380166,134644.08300000004
50.385716,11.9686337,49.4515995,11.0380166,166994.119
48.433503,13.3783558,49.4515995,11.0380166,255902.66500000004
49.4499878,11.0422154,49.4515995,11.0380166,357.273
48.2450725,12.8330773,49.4515995,11.0380166,286897.0180000002
49.7431312,9.822238,49.4515995,11.0380166,115352.803
48.1777679,11.4379263,49.4515995,11.0380166,200069.69200000004
47.6088843,12.1991347,49.4515995,11.0380166,286669.12900000025
48.1246178,11.5134906,49.4515995,11.0380166,215067.62800000003
50.3871966,10.9163625,49.4515995,11.0380166,122790.33699999998
47.6873902,10.3613861,49.4515995,11.0380166,346925.58
49.7235423,9.8247944,49.4515995,11.0380166,117563.98100000001
47.8067645,12.0947944,49.4515995,11.0380166,262459.3740000001
48.1776625,11.5947842,49.4515995,11.0380166,192013.86200000002
50.3454479,9.7564812,49.4515995,11.0380166,173624.58800000002
48.8338337,12.9540376,49.4515995,11.0380166,196701.466
48.4455002,10.207631,49.4515995,11.0380166,298910.08000000025
47.7683471,12.9378016,49.4515995,11.0380166,330213.699
48.1383261,11.6261375,49.4515995,11.0380166,210052.75600000005
50.4242953,10.3563916,49.4515995,11.0380166,171020.73299999998
49.7730938,9.7124431,49.4515995,11.0380166,124159.21999999999
49.6332429,12.4923087,49.4515995,11.0380166,147386.78300000002
48.0950987,11.5879456,49.4515995,11.0380166,226411.92400000006
48.1110348,11.6147863,49.4515995,11.0380166,225870.48200000002
47.9700299,10.1169368,49.4515995,11.0380166,310279.03300000017
49.2061613,10.1429783,49.4515995,11.0380166,129659.49500000001
50.4088662,11.7755127,49.4515995,11.0380166,163203.264
48.2112162,11.3858694,48.1813987,11.4321722,4773.402
50.2700502,12.0301304,48.9913152,12.0609704,162301.90599999996
49.7865377,10.0816733,49.1963833,10.2359565,73553.90899999999
49.5600466,10.9847167,49.5580747,10.9995256,1101.491
49.9983347,10.0781871,50.0001521,10.0785999,204.489
50.001664,10.0776839,50.0175257,10.1618227,6821.8279999999995
49.9285582,10.9171873,49.9272494,10.9188364,187.419
49.9270298,10.9126121,49.9302388,10.9209596,698.838
49.4046901,11.0723677,49.3741597,11.146709,6907.908000000001
49.4639538,11.2486685,49.4482555,11.2340604,2056.8509999999997
48.8206032,12.9418363,48.3131962,11.6141395,119901.06100000002
49.3944839,11.193897,49.4057348,11.3062749,8325.847
48.1777679,11.4379263,48.207962,11.3917579,4794.692
50.020532,10.1665139,50.0013565,10.0793083,7164.575999999999
49.4059845,11.3069834,49.3938059,11.1896362,8700.063999999998
48.217627,11.6360545,48.2234455,11.6241151,1097.562
49.4485317,11.2346271,49.4643844,11.2493376,2062.7459999999996
47.8895176,11.7357965,47.8977859,11.7226017,1365.0120000000002
49.1951914,10.2363651,49.7864335,10.082271,73657.95900000002
48.3124994,11.6130038,48.8176177,12.9390022,119627.82700000003
48.0128536,11.6660562,48.0325334,11.6549729,2341.0200000000004
48.2247736,11.5312961,48.2134077,11.6420314,8738.601
48.5820068,11.5959082,50.2681897,12.033433,226816.66800000006
50.0206632,11.4069591,49.9297493,10.9188413,38718.56
49.3618802,11.1993787,49.3810979,11.1314954,5535.215
48.0311247,11.6554993,48.009239,11.6682768,2615.88
47.690891,10.366632,47.691074,10.3667776,63044.943
