Delta;Percent
-95;0
-70;0
-60;0
-50;0
-40;0
-30;4,857466296
-20;9,714932592
-10;17,26870433
0;28,23916847
10;22,95976124
20;11,21745395
30;3,828342081
40;1,214366574
50;0,360193475
60;0,205824843
70;0,133786148
