TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;vT_MobisSo;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;pSV_MobisSo_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;DL_Ri1;DL_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;Koor_UTM32_E;Koor_UTM32_N;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_t;Q_L1_t;Q_L2_t;Q_K_t;Q_P_n;Q_L1_n;Q_L2_n;Q_K_n;Q_P_a;Q_L1_a;Q_L2_a;Q_K_a;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
8036;9171;Holzkirchen (W);9;BY;A;8;;8+1;Rosenheim;AS Holzkirchen;O;München;AS Hofoldinger Forst;W;8;250;113.207;57.341;55.866;;;;;1,11;1,04;1,12;6.365;;1.420;;;;;;D;D;;;;;;;;;;701.995;5.312.766;;;;;108.177;56.271;51.906;;;;47,93634145;11,70464187;5.647;5.754;9,8;10,3;;;;;10,0;11,1;53.962;52.544;0,93;1,16;0,93;1,00;1,21;1,03;1,02;1,01;;;;;;;;;;;;;660;8036007O8136002O;4,856;Ri1_ist_NachNK;- in Bearbeitung -;
7527;9966;Leipheim (O);9;BY;A;8;;8+1;Augsburg;AS Günzburg;O;Ulm;AS Leipheim;W;6;326;71.270;35.500;35.770;12.404;6.141;6.263;17,4;1,02;0,89;1,11;3.966;15,5;976;33,3;;;;;D;C;81,0;8,6;0,6;1,6;2,4;14,5;11,3;0,5;0,0;590.622;5.364.873;;;;;73.454;36.835;36.619;23,1;22,8;23,5;48,43047611;10,22508859;3.295;3.384;9,3;9,5;10,3;1,8;8,3;0,7;8,9;9,2;36.873;37.344;0,87;0,91;0,91;0,97;1,13;1,08;0,85;0,83;3.331;108;505;22;643;46;279;8;2.734;60;284;16;440;7527213O7527235O;1,990;Ri1_ist_NachNK;- in Bearbeitung -;
7527;9130;Leipheim (W);9;BY;A;8;;8+1;Augsburg;AS Leipheim;O;Ulm;AK Kreuz Ulm/Elchingen (A7);W;6;141;70.696;34.990;35.706;;;;;1,02;0,89;1,10;3.944;;949;;;;;;C;C;;;;;;;;;;589.279;5.366.571;;;;;72.915;36.321;36.594;;;;48,44594838;10,20729078;3.334;3.387;9,5;9,5;;;;;9,2;9,3;36.450;37.205;0,87;0,91;0,91;0,97;1,13;1,08;0,84;0,83;;;;;;;;;;;;;430;7527001O7527213O;3,159;Ri1_ist_NachNK;- in Bearbeitung -;
7935;9082;München-Perlach (S);9;BY;A;8;;8+1;Rosenheim;AS Neubiberg;O;München;AS München-Perlach;W;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;694.581;5.330.708;;;;;;;;;;;48,09989868;11,61362156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;630;7835078O7935044O;0,534;Ri1_ist_NachNK;- in Bearbeitung -;
8142;9031;Neukirchen (O);9;BY;A;8;;8+1;Salzburg (A);AS Anger;O;Rosenheim;AS Neukirchen;W;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;780.119;5.304.263;;;;;;;;;;;47,83063969;12,74319514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;780;8142006O8143015O;0,079;Ri1_ist_NachNK;- in Bearbeitung -;
7531;9964;Neusäß (W);9;BY;A;8;;8+1;Augsburg;AS Neusäß;O;Ulm;AS Adelsried;W;6;315;75.229;37.568;37.660;11.260;5.566;5.695;15,0;1,00;0,86;1,10;4.194;13,2;1.015;29,6;;;;;D;C;83,5;8,6;0,4;1,5;2,3;12,2;9,6;0,5;0,0;633.846;5.364.511;;;;;78.432;39.435;38.997;19,5;19,1;19,9;48,41951862;10,80904032;3.442;3.616;9,2;9,6;13,6;7,8;11,1;6,1;8,7;9,3;39.654;39.772;0,84;0,87;0,92;0,97;1,12;1,09;0,82;0,82;3.623;107;446;18;711;48;252;4;2.899;61;263;13;480;7530013O7531042O;6,613;Ri1_ist_NachNK;- in Bearbeitung -;
7633;9014;Odelzhausen (O);9;BY;A;8;;8+1;München;AS Sulzemoos;O;Augsburg;AS Odelzhausen;W;6;246;89.415;44.613;44.802;11.820;5.834;5.986;13,2;0,98;0,82;1,07;4.973;11,9;1.230;23,6;;;;;D;D;85,1;3,6;0,3;1,2;2,9;9,9;7,6;0,4;0,5;665.422;5.351.526;;;;;94.623;47.370;47.253;16,8;16,6;17,1;48,29528804;11,23040154;4.395;4.389;9,9;9,8;13,4;7,1;9,6;5,1;9,3;9,3;47.898;48.154;0,81;0,83;0,93;0,97;1,08;1,07;0,80;0,82;4.341;155;439;15;928;62;228;4;3.598;89;260;12;550;7633019O7733005O;2,216;Ri1_ist_NachNK;- in Bearbeitung -;
8138;9023;Rosenheim (O);9;BY;A;8;;8+1;Salzburg (A);AS Rohrdorf;O;Rosenheim;AS Rosenheim;W;4;295;70.792;35.264;35.528;7.888;3.677;4.211;11,1;1,13;1,00;1,14;3.927;10,2;996;18,6;;;;;D;D;82,1;8,1;0,2;2,2;2,7;7,8;5,3;0,7;4,5;734.953;5.299.505;;;;;68.820;34.917;33.903;15,0;13,7;16,3;47,80597722;12,13809450;3.162;3.201;9,0;9,0;7,0;2,7;4,8;0,8;9,1;9,4;33.836;33.404;0,90;1,09;0,92;1,08;1,23;1,06;0,97;0,95;3.341;126;275;9;761;44;141;2;2.558;80;178;5;710;8138024O8138025O;1,362;Ri1_ist_NachNK;- in Bearbeitung -;
7733;9003;Sulzemoos (O);9;BY;A;8;;8+1;München;AS Dachau/Fürstenfeldbruck;O;Augsburg;AS Sulzemoos;W;6;195;92.601;46.227;46.374;12.071;5.899;6.171;13,0;0,96;0,80;1,07;5.160;11,8;1.255;23,2;;;;;D;D;85,2;4,2;0,3;1,2;2,9;9,7;7,4;0,5;0,5;669.393;5.349.312;;;;;98.808;49.418;49.390;16,5;16,1;16,9;48,27433463;11,28301180;4.732;4.573;10,2;9,9;13,2;9,3;9,2;5,9;9,6;9,3;49.633;50.320;0,79;0,81;0,93;0,96;1,08;1,05;0,78;0,80;4.508;163;446;16;951;64;227;5;3.723;95;266;11;560;7733005O7734015O;1,187;Ri1_ist_NachNK;- in Bearbeitung -;
7530;9013;Zusmarshausen (O);9;BY;A;8;;8+1;Augsburg;AS Adelsried;O;Ulm;AS Zusmarshausen;W;6;321;69.684;34.783;34.901;10.987;5.431;5.556;15,8;1,02;0,90;1,12;3.875;13,9;960;30,7;;;;;D;D;82,7;8,7;0,4;1,6;2,3;13,0;10,2;0,5;0,0;619.172;5.363.080;;;;;71.491;35.948;35.543;20,8;20,4;21,2;48,40960266;10,61038771;3.206;3.368;9,2;9,7;9,4;2,3;7,8;1,1;8,9;9,5;36.197;36.229;0,88;0,92;0,91;0,98;1,13;1,10;0,85;0,85;3.319;98;441;17;661;44;250;4;2.707;58;265;12;470;7529015O7530013O;0,810;Ri1_ist_NachNK;- in Bearbeitung -;
7528;9965;Zusmarshausen (W);9;BY;A;8;;8+1;Augsburg;AS Zusmarshausen;O;Ulm;AS Burgau;W;6;312;66.340;33.075;33.264;10.916;5.395;5.521;16,5;1,03;0,93;1,12;3.687;14,4;919;32,6;;;;;D;C;82,0;8,7;0,4;1,6;2,4;13,6;10,7;0,5;0,0;617.235;5.362.950;;;;;67.414;33.857;33.557;21,9;21,5;22,3;48,40879537;10,58419458;3.134;3.237;9,5;9,7;9,7;1,9;7,5;0,6;9,3;9,6;34.060;34.080;0,91;0,96;0,91;0,98;1,13;1,11;0,86;0,86;3.139;96;436;15;616;47;253;3;2.583;60;266;11;460;7528037O7529015O;11,339;Ri1_ist_NachNK;- in Bearbeitung -;
5636;9903;AD Bayer. Vogtland (N);9;BY;A;9;;8+1;Hermsdorf;AS Naila/Selbitz;N;Hof;AD Dreieck Bayerisches Vogtland (A72);S;4;135;42.103;20.872;21.231;9.025;4.457;4.568;21,4;1,07;1,08;1,24;2.288;18,5;686;40,8;;;;;B;B;75,9;9,3;1,3;1,4;3,2;17,7;13,7;0,5;1,3;698.382;5.579.651;;;;;41.431;20.816;20.616;29,2;28,4;29,9;50,33550106;11,78775667;2.498;2.542;12,0;12,0;2,0;2,2;0,9;0,7;12,0;12,3;20.287;19.359;0,90;1,26;0,84;1,26;1,35;1,13;0,89;0,85;1.804;79;345;31;392;38;243;6;1.319;59;243;23;370;5636034O5636021O;0,252;Ri1_ist_VonNK;- in Bearbeitung -;
5636;9994;AD Bayer. Vogtland (S);9;BY;A;9;;8+1;Hermsdorf;AD Dreieck Bayerisches Vogtland (A72);N;Hof;AS Hof-West;S;6;114;56.088;27.769;28.319;12.480;6.141;6.340;22,3;1,05;1,07;1,25;3.023;19,3;965;40,9;;;;;C;B;73,2;9,3;0,7;1,5;3,8;18,0;13,5;0,4;3,0;699.488;5.576.876;;;;;55.895;28.350;27.545;29,6;28,3;30,9;50,31020582;11,80181154;3.370;3.262;12,1;11,5;9,9;2,5;7,0;0,8;11,9;11,8;27.412;24.945;0,83;1,34;0,79;1,43;1,44;1,05;0,87;0,80;2.329;116;466;22;533;66;329;7;1.790;95;341;18;360;5636021O5736005O;1,438;Ri1_ist_VonNK;- in Bearbeitung -;
5935;9001;AD Bayreuth/Kulmbach (N);9;BY;A;9;;8+1;Hof;AS Bad Berneck/Himmelkron;N;Bayreuth;AD Dreieck Bayreuth/Kulmbach (A70);S;6;184;73.826;36.917;36.909;14.570;7.253;7.317;19,7;1,01;0,95;1,18;4.020;17,0;1.189;38,2;;;;;C;C;77,5;8,7;1,0;1,3;3,6;15,7;12,1;0,4;1,5;686.862;5.545.981;;;;;76.079;38.775;37.303;25,7;24,8;26,6;50,03676836;11,60950967;4.218;3.905;11,4;10,6;12,2;2,3;9,4;0,7;10,9;10,5;38.075;35.405;0,77;1,15;0,84;1,32;1,31;1,04;0,83;0,78;3.235;148;535;41;702;74;381;12;2.470;107;393;33;330;5935020O5935011O;2,149;Ri1_ist_VonNK;- in Bearbeitung -;
5935;9002;AD Bayreuth/Kulmbach (S);9;BY;A;9;;8+1;Hof;AD Dreieck Bayreuth/Kulmbach (A70);N;Bayreuth;AS Bindlacher Berg;S;6;267;67.990;33.630;34.360;12.479;6.272;6.207;18,4;1,01;0,91;1,16;3.718;15,8;1.063;36,1;;;;;D;C;79,2;8,9;1,5;1,2;4,1;13,9;10,7;0,4;1,3;686.570;5.543.939;;;;;70.657;35.480;35.177;23,6;23,3;23,8;50,01851274;11,60443866;3.690;3.539;11,0;10,3;13,1;11,5;9,2;8,4;10,4;10,1;34.269;32.998;0,74;1,09;0,85;1,27;1,26;1,06;0,82;0,78;3.026;154;434;57;649;72;311;16;2.229;103;311;44;320;5935011O5935021O;0,736;Ri1_ist_VonNK;- in Bearbeitung -;
7435;9241;AD Dreieck Holledau;9;BY;A;9;;8+1;Nürnberg;AD Dreieck Holledau (A93);N;München;AS Pfaffenhofen;S;6;174;81.847;41.033;40.815;;;;;1,03;1,00;1,13;4.563;;1.104;;;;;;D;D;;;;;;;;;;691.042;5.381.954;;;;;81.094;40.833;40.261;;;;48,56154097;11,58937133;4.140;3.827;10,1;9,4;;;;;10,1;9,5;40.909;39.434;0,93;1,06;0,90;1,01;1,16;1,09;0,94;0,95;;;;;;;;;;;;;120;7435003O7435026O;2,064;Ri1_ist_VonNK;- in Bearbeitung -;
7335;9056;AD Holledau (N);9;BY;A;9;;5+1;Nürnberg;AS Langenbruck;N;München;AD Dreieck Holledau (A93);S;6;286;90.082;45.701;44.381;;;;;1,03;0,96;1,11;5.043;;1.173;;;;;;D;D;;;;;;;;;;690.488;5.384.334;;;;;90.517;45.878;44.639;;;;48,58309907;11,58295360;4.510;4.227;9,9;9,5;;;;;9,8;9,5;45.350;43.935;0,91;1,01;0,93;1,01;1,13;1,08;0,90;0,90;;;;;;;;;;;;;130;7335010O7435003O;8,769;Ri1_ist_VonNK;- in Bearbeitung -;
7435;9110;AD Holledau (S);9;BY;A;9;;8+1;Nürnberg;AD Dreieck Holledau (A93);N;München;AS Pfaffenhofen;S;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;691.344;5.378.535;;;;;;;;;;;48,53072288;11,59189111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;7435003O7435026O;5,631;Ri1_ist_VonNK;- in Bearbeitung -;
6633;9538;AD Nürnberg-Feucht (S);9;BY;A;9;;5+1;Nürnberg;AD Dreieck Nürnberg/Feucht (A73);N;München;AS Allersberg;S;6;236;82.976;40.266;42.709;12.538;6.031;6.507;15,1;1,02;1,02;1,15;4.597;13,2;1.177;30,1;;;;;C;D;82,0;;;1,6;2,8;11,8;;0,5;1,2;660.447;5.464.573;;;;;82.553;40.111;42.442;20,0;19,8;20,3;49,31279514;11,20756230;4.209;4.105;10,5;9,6;9,2;3,8;7,0;2,7;10,5;9,7;39.799;40.878;0,95;1,08;0,89;1,09;1,23;1,08;0,91;0,90;;143;463;;;54;301;;;90;315;;200;6633020O6733011O;4,075;Ri1_ist_VonNK;- in Bearbeitung -;
7735;9115;AK München-Nord (N);9;BY;A;9;;8+1;Nürnberg;AS Garching-Süd;N;München;AK Kreuz München-Nord (A99);S;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;695.780;5.345.888;;;;;;;;;;;48,23596350;11,63669873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;7735029O7735012O;0,869;Ri1_ist_VonNK;- in Bearbeitung -;
7735;9066;AK München-Nord (S);9;BY;A;9;;8+1;Nürnberg;AK Kreuz München-Nord (A99);N;München;AS München-Fröttmaning-Süd;S;6;306;126.875;66.889;59.986;6.907;3.599;3.308;5,4;0,89;0,70;1,05;7.145;5,2;1.569;7,7;;;;;D;D;93,9;5,4;1,4;0,7;2,9;2,0;1,3;0,6;0,0;694.840;5.342.726;;;;;143.148;76.144;67.004;6,6;6,5;6,7;48,20783316;11,62260381;6.477;6.056;9,7;10,1;4,5;6,7;1,4;2,3;8,5;9,0;76.066;66.534;0,66;0,74;0,98;1,02;1,05;1,04;0,76;0,75;6.673;239;133;101;1.430;75;45;18;5.430;96;57;84;40;7735012O7735026O;1,547;Ri1_ist_VonNK;- in Bearbeitung -;
7535;9059;AK Neufahrn (N);9;BY;A;9;;8+1;Nürnberg;AS Allershausen;N;München;AK Kreuz Neufahrn (A92);S;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;691.648;5.364.766;;;;;;;;;;;48,40688723;11,58969898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;7535015O7635023O;2,459;Ri1_ist_VonNK;- in Bearbeitung -;
7635;9065;AK Neufahrn (S);9;BY;A;9;;8+1;Nürnberg;AK Kreuz Neufahrn (A92);N;München;AS Eching;S;6;247;121.826;56.747;65.079;;;;;0,97;0,89;1,06;6.775;;1.677;;;;;;D;D;;;;;;;;;;694.523;5.354.274;;;;;126.627;58.548;68.079;;;;48,31171179;11,62365652;5.485;5.791;9,7;8,9;;;;;9,4;8,5;58.829;66.472;0,87;0,91;0,94;1,03;1,08;1,05;0,86;0,83;;;;;;;;;;;;;80;7635023O7635022O;0,547;Ri1_ist_VonNK;- in Bearbeitung -;
6533;9042;AK Nürnberg (N);9;BY;A;9;;8+1;Bayreuth;AS Lauf;N;Nürnberg;AK Kreuz Nürnberg (A3);S;6;341;79.577;39.822;39.755;12.944;6.443;6.501;16,3;0,98;0,88;1,13;4.386;14,1;1.176;32,3;;;;;D;C;81,2;8,7;1,4;1,1;3,6;12,3;9,5;0,4;1,4;663.675;5.482.533;;;;;83.940;42.519;41.421;20,8;20,2;21,3;49,47336274;11,25933054;4.091;3.890;10,3;9,8;11,4;14,3;8,2;10,0;9,6;9,4;42.047;39.778;0,74;1,03;0,87;1,19;1,21;1,04;0,81;0,79;3.646;163;456;61;760;65;316;16;2.743;90;312;50;250;6433039O6533014O;3,425;Ri1_ist_VonNK;- in Bearbeitung -;
6533;9060;AK Nürnberg (S);9;BY;A;9;;8+1;Nürnberg;AK Kreuz Nürnberg (A3);N;München;AS Nürnberg-Fischbach;S;6;346;111.533;54.476;57.057;18.691;9.327;9.364;16,8;1,00;0,91;1,12;6.140;14,4;1.662;34,0;;;;;D;D;80,6;8,9;0,5;1,3;3,3;13,1;9,9;0,4;1,3;659.883;5.476.573;;;;;115.165;56.745;58.421;21,6;21,8;21,4;49,42080046;11,20462153;4.730;4.832;8,7;8,5;13,2;5,9;10,2;4,0;8,3;8,3;56.560;56.314;0,80;1,03;0,90;1,13;1,17;1,06;0,84;0,82;5.140;214;672;33;1.066;85;480;7;3.844;132;487;25;240;6533014O6533018O;5,089;Ri1_ist_VonNK;- in Bearbeitung -;
6533;9057;AK Nürnberg-Ost (N);9;BY;A;9;;8+1;Nürnberg;AS Nürnberg-Fischbach;N;München;AK Kreuz Nürnberg-Ost (A6);S;6;207;108.313;52.797;55.517;18.251;8.968;9.283;16,9;1,01;0,96;1,11;5.955;14,5;1.629;34,1;;;;;D;D;80,0;8,3;0,7;1,5;3,4;13,0;10,0;0,4;1,6;659.367;5.474.444;;;;;110.347;54.261;56.086;21,9;21,8;22,0;49,40179965;11,19665977;4.722;4.838;8,9;8,7;3,6;8,1;1,1;5,8;8,7;8,6;54.678;53.871;0,85;1,07;0,90;1,14;1,13;1,08;0,87;0,84;4.950;215;648;43;1.041;88;468;8;3.770;135;466;30;220;6533018O6633001O;0,480;Ri1_ist_VonNK;- in Bearbeitung -;
6633;9754;AK Nürnberg-Ost (S);9;BY;A;9;;8+1;Nürnberg;AK Kreuz Nürnberg-Ost (A6);N;München;AD Dreieck Nürnberg/Feucht (A73);S;6;336;67.798;33.110;34.688;10.441;5.061;5.380;15,4;1,04;1,02;1,16;3.765;13,4;945;31,3;;;;;D;C;81,0;7,5;1,0;1,5;2,6;12,3;9,9;0,5;2,1;659.807;5.472.929;;;;;67.080;32.939;34.141;20,5;20,2;20,8;49,38807204;11,20210599;3.478;3.507;10,5;10,1;6,0;5,2;4,7;3,1;10,6;10,3;32.635;32.713;0,93;1,12;0,89;1,11;1,24;1,07;0,89;0,87;3.143;109;395;39;616;46;250;11;2.324;70;273;30;210;6633001O6633020O;0,861;Ri1_ist_VonNK;- in Bearbeitung -;
6833;9539;AS Allersberg (S);9;BY;A;9;;5+1;Nürnberg;AS Allersberg;N;München;AS Hilpoltstein;S;6;237;75.138;36.798;38.341;11.907;5.813;6.094;15,8;1,05;1,09;1,19;4.159;13,7;1.075;32,4;;;;;D;C;81,1;;;1,7;2,7;12,6;;0,6;1,3;661.402;5.456.946;;;;;72.759;35.682;37.077;21,5;21,3;21,6;49,24398408;11,21761089;4.040;3.915;11,0;10,2;2,9;2,8;1,0;1,1;11,3;10,6;35.348;35.463;1,00;1,18;0,88;1,10;1,25;1,12;0,95;0,96;;126;445;;;51;297;;;84;310;;190;6733011O6833028O;0,490;Ri1_ist_VonNK;- in Bearbeitung -;
6035;9623;AS Bayreuth-Nord;9;BY;A;9;;5+1;Hof;AS Bayreuth-Nord (B2);N;Bayreuth;AS Bayreuth-Süd (B85);S;6;205;63.502;31.145;32.356;11.080;5.701;5.379;17,4;1,02;0,93;1,19;3.467;15,0;1.003;34,4;;;;;D;C;76,9;;;1,6;2,9;14,0;;0,6;4,1;687.066;5.536.514;;;;;65.662;32.824;32.838;22,6;23,0;22,2;49,95164107;11,60775286;3.354;3.198;10,8;9,9;11,0;1,9;8,4;0,8;10,2;9,7;31.483;30.836;0,75;1,13;0,88;1,30;1,32;1,05;0,84;0,78;;110;410;;;51;294;;;69;293;;300;6035006O6035036O;0,869;Ri1_ist_VonNK;- in Bearbeitung -;
6035;9622;AS Bindlacher Berg;9;BY;A;9;;5+1;Hof;AS Bindlacher Berg;N;Bayreuth;AS Bayreuth-Nord (B2);S;6;211;66.397;32.478;33.919;11.147;5.788;5.358;16,8;1,01;0,93;1,18;3.630;14,4;1.039;33,2;;;;;C;C;78,0;;;1,7;2,6;13,6;;0,6;3,6;686.920;5.539.821;;;;;68.813;34.242;34.572;21,7;22,3;21,0;49,98140335;11,60732188;3.638;3.509;11,2;10,3;10,8;1,4;8,4;0,6;10,6;10,1;32.670;32.516;0,75;1,10;0,87;1,29;1,30;1,06;0,83;0,78;;107;417;;;52;294;;;68;296;;310;5935021O6035006O;3,834;Ri1_ist_VonNK;- in Bearbeitung -;
5736;9620;AS Hof-West;9;BY;A;9;;5+1;Hof;AS Hof-West (B15);N;Bayreuth;AS Münchberg-Nord;S;6;350;65.514;32.436;33.078;15.155;7.508;7.646;23,1;1,03;0,99;1,20;3.524;20,2;1.140;41,3;;;;;C;B;69,3;;;2,6;6,4;15,8;;0,9;5,0;698.197;5.565.328;;;;;66.608;33.674;32.934;30,0;29,1;31,0;50,20690337;11,77766032;3.688;3.615;11,4;10,9;15,9;3,6;9,9;0,6;11,0;11,0;33.181;30.880;0,77;1,22;0,80;1,38;1,36;1,03;0,84;0,78;;236;476;;;128;343;;;186;346;;350;5736005O5736018O;10,180;Ri1_ist_VonNK;- in Bearbeitung -;
5836;9621;AS Münchberg-Nord;9;BY;A;9;;5+1;Hof;AS Münchberg-Nord;N;Bayreuth;AS Münchberg-Süd;S;6;350;64.915;32.074;32.841;15.120;7.455;7.664;23,3;1,04;1,01;1,20;3.490;20,3;1.134;41,7;;;;;C;B;68,9;;;2,6;6,5;15,9;;0,9;5,1;696.612;5.562.134;;;;;65.693;33.169;32.524;30,3;29,3;31,4;50,17874002;11,75382612;3.648;3.648;11,4;11,1;14,4;3,5;8,8;0,6;11,0;11,2;32.668;30.416;0,79;1,24;0,80;1,39;1,35;1,04;0,84;0,79;;235;474;;;130;343;;;188;348;;340;5736018O5836007O;3,442;Ri1_ist_VonNK;- in Bearbeitung -;
6234;9536;AS Pegnitz;9;BY;A;9;;8+1;Bayreuth;AS Pegnitz (B85/B470);N;Nürnberg;AS Weidensees;S;6;256;57.652;28.633;29.019;;;;;1,04;1,07;1,21;3.127;;953;;;;;;B;C;;;;;;;;;;680.871;5.511.478;;;;;57.382;29.172;28.211;;;;49,72858577;11,50980347;3.210;3.156;11,2;10,9;;;;;11,0;11,2;28.361;26.036;0,84;1,31;0,83;1,34;1,34;1,06;0,90;0,87;;;;;;;;;;;;;270;6235018O6234022O;0,021;Ri1_ist_VonNK;- in Bearbeitung -;
7535;9058;Allershausen (N);9;BY;A;9;;8+1;Nürnberg;AS Pfaffenhofen;N;München;AS Allershausen;S;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;691.135;5.371.868;;;;;;;;;;;48,47087009;11,58601215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;7435026O7535015O;3,982;Ri1_ist_VonNK;- in Bearbeitung -;
7735;9062;Garching-Nord (N);9;BY;A;9;;8+1;Nürnberg;AS Eching;N;München;AS Garching-Nord;S;8;323;136.070;71.594;64.476;;;;;0,96;0,81;1,05;7.615;;1.780;;;;;;D;D;;;;;;;;;;696.057;5.350.339;;;;;144.446;75.395;69.051;;;;48,27587697;11,64249927;6.952;6.107;9,7;9,5;;;;;9,2;8,8;76.028;67.895;0,80;0,82;0,95;1,02;1,06;1,04;0,84;0,80;;;;;;;;;;;;;70;7635022O7735021O;2,835;Ri1_ist_VonNK;- in Bearbeitung -;
7735;9063;Garching-Nord (S);9;BY;A;9;;8+1;Nürnberg;AS Garching-Nord;N;München;AS Garching-Süd;S;8;311;139.048;72.958;66.090;13.304;6.607;6.697;9,6;0,97;0,84;1,05;7.747;8,8;1.886;16,2;;;;;D;D;89,4;6,4;0,8;1,0;2,8;5,9;4,8;0,8;0,0;696.468;5.348.388;;;;;146.509;76.987;69.521;11,9;11,2;12,7;48,25821797;11,64712540;6.737;6.121;9,2;9,3;6,9;10,7;4,1;6,5;8,8;8,8;77.360;67.097;0,80;0,88;0,96;1,05;1,06;1,05;0,83;0,84;7.006;267;412;63;1.570;101;204;11;5.645;137;241;51;60;7735021O7735029O;0,673;Ri1_ist_VonNK;- in Bearbeitung -;
6934;9061;Greding (N);9;BY;A;9;;8+1;Nürnberg;AS Hilpoltstein;N;München;AS Greding;S;6;282;73.626;36.393;37.233;11.902;5.942;5.961;16,2;1,07;1,11;1,18;4.086;14,1;1.032;32,8;;;;;C;C;80,3;7,8;0,5;1,6;2,8;12,8;9,6;0,5;2,0;670.334;5.435.746;;;;;70.571;35.096;35.475;22,1;22,2;21,9;49,05102491;11,33127420;4.038;3.981;11,1;10,7;6,3;3,1;4,4;2,2;11,5;11,2;34.695;33.884;1,02;1,21;0,88;1,09;1,25;1,11;0,95;0,96;3.408;128;446;22;668;53;285;5;2.587;91;307;17;180;6833028O6934014O;13,815;Ri1_ist_VonNK;- in Bearbeitung -;
7234;9552;Ingolstadt-Nord (S);9;BY;A;9;;8+1;Nürnberg;AS Ingolstadt-Nord;N;München;AS Ingolstadt-Süd;S;6;268;106.659;52.374;54.285;12.618;6.191;6.426;11,8;1,00;0,84;1,10;5.998;10,4;1.337;24,6;;;;;D;D;86,7;8,5;0,5;1,4;1,8;9,6;7,6;0,5;0,0;680.734;5.404.212;;;;;110.873;54.449;56.425;15,2;15,2;15,2;48,76465310;11,45952192;5.017;4.970;9,6;9,2;4,3;4,9;3,4;3,9;9,2;8,8;54.529;55.505;0,80;0,88;0,93;1,03;1,14;1,06;0,85;0,85;5.344;128;496;29;1.004;46;283;4;3.906;65;312;19;160;7234024O7234033O;0,865;Ri1_ist_VonNK;- in Bearbeitung -;
6433;9728;Lauf (N);9;BY;A;9;;2;Bayreuth;AS Lauf/Hersbruck;N;Nürnberg;AS Lauf;S;6;277;75.519;36.946;38.573;13.183;6.054;7.130;17,5;0,99;0,88;1,13;4.162;15,3;1.116;33,6;;;;;C;D;;;;;;;;;;665.877;5.486.034;;;;;79.350;39.430;39.920;21,9;20,3;23,6;49,50422704;11,29117128;4.009;3.837;10,9;9,9;11,4;14,7;;;10,2;9,6;38.686;38.003;0,73;1,03;0,86;1,20;1,23;1,03;0,81;0,79;;;;;;;;;;;;;260;6433028O6433039O;1,751;Ri1_ist_VonNK;- in Bearbeitung -;
