TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;vT_MobisSo;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;pSV_MobisSo_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;DL_Ri1;DL_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;Koor_UTM32_E;Koor_UTM32_N;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_t;Q_L1_t;Q_L2_t;Q_K_t;Q_P_n;Q_L1_n;Q_L2_n;Q_K_n;Q_P_a;Q_L1_a;Q_L2_a;Q_K_a;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
7834;9140;AK München-West (O);9;BY;A;8;;8+1;München;AS München-Obermenzing;O;Augsburg;AK Kreuz München-West (A99);W;4;340;34.010;16.890;17.120;;;;;0,87;0,71;1,03;1.945;;361;;;;;;C;D;;;;;;;;;;681.725;5.338.460;;;;;38.467;19.097;19.370;;;;48,17337285;11,44441919;1.912;1.906;11,3;11,1;;;;;10,0;9,8;19.386;19.479;0,72;0,69;0,96;0,96;1,00;1,06;0,77;0,80;;;;;;;;;;;;;620;7834038O7834006O;1,228;Ri1_ist_NachNK;- in Bearbeitung -;
7834;9141;AK München-West (W);9;BY;A;8;;8+1;München;AK Kreuz München-West (A99);O;Augsburg;AS München-Langwied;W;4;289;48.172;24.335;23.836;2.893;1.451;1.442;6,0;0,91;0,75;1,06;2.763;5,6;496;10,7;;;;;D;E;91,0;7,6;0,0;1,0;2,4;3,1;2,3;0,5;2,0;680.242;5.339.836;;;;;53.221;26.655;26.566;7,3;7,3;7,4;48,18616466;11,42507999;2.714;2.774;11,2;11,6;7,2;3,8;3,4;1,7;10,2;10,4;27.153;26.922;0,77;0,72;0,93;0,96;1,05;1,06;0,78;0,77;2.553;75;79;0;435;23;30;0;2.071;32;33;0;610;7834001O7834038O;1,633;Ri1_ist_NachNK;- in Bearbeitung -;
8141;9195;AS Anger;9;BY;A;8;;1;Salzburg (A);AS Bad Reichenhall (B20);O;Rosenheim;AS Anger;W;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;792.324;5.297.827;;;;;;;;;;;47,76743110;12,90156876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;790;8143015O8243004O;5,008;Ri1_ist_NachNK;- in Bearbeitung -;
8141;9192;AS Grabenstätt;9;BY;A;8;;8+1;Salzburg (A);AS Bergen;O;Rosenheim;AS Grabenstätt;W;4;337;57.102;28.426;28.676;;;;;1,21;1,09;1,17;3.141;;855;;;;;;D;D;;;;;;;;;;767.407;5.303.300;;;;;53.228;27.185;26.043;;;;47,82739891;12,57308021;2.828;2.954;9,9;10,3;;;;;10,4;11,3;25.750;25.557;0,96;1,22;0,91;1,11;1,27;1,08;1,02;1,00;;;;;;;;;;;;;740;8141017O8141018O;3,773;Ri1_ist_NachNK;- in Bearbeitung -;
8136;9225;AS Holzkirchen;9;BY;A;8;;8+1;Rosenheim;AS Weyarn;O;München;AS Holzkichen (B318);W;6;316;91.776;43.335;48.441;;;;;1,14;1,06;1,15;5.098;;1.275;;;;;;D;D;;;;;;;;;;708.703;5.305.303;;;;;86.382;41.707;44.675;;;;47,86712844;11,79074688;4.336;4.661;10,0;9,6;;;;;10,4;10,4;38.887;44.247;0,95;1,15;0,93;1,02;1,28;1,04;1,05;1,01;;;;;;;;;;;;;670;8136002O8136012O;5,659;Ri1_ist_NachNK;- in Bearbeitung -;
8138;9227;AS Irschenberg;9;BY;A;8;;8+1;Rosenheim;AS Bad Aibling;O;München;AS Irschenberg (B472);W;6;327;83.014;41.307;41.706;12.082;5.842;6.240;14,6;1,18;1,11;1,18;4.591;13,4;1.195;23,4;;;;;D;D;82,7;5,3;0,7;2,0;2,1;11,8;10,2;0,7;0,8;717.837;5.301.527;;;;;76.388;39.319;37.069;20,4;19,3;21,7;47,83016599;11,91082494;4.131;4.383;10,0;10,5;5,1;2,5;4,2;0,8;10,5;11,8;36.400;36.338;0,97;1,26;0,93;1,04;1,29;1,06;1,06;1,07;3.910;121;495;33;894;49;231;9;2.950;85;309;26;690;8137012O8138020O;0,445;Ri1_ist_NachNK;- in Bearbeitung -;
8141;9193;AS Schweinbach;9;BY;A;8;;8+1;Salzburg (A);AS Traunstein/Siegsdorf (B306);O;Rosenheim;AS Schweinbach;W;4;257;56.407;28.381;28.026;;;;;1,23;1,10;1,20;3.111;;828;;;;;;C;D;;;;;;;;;;772.443;5.303.684;;;;;52.207;26.983;25.224;;;;47,82873236;12,64047371;2.904;2.968;10,2;10,6;;;;;10,8;11,8;25.130;25.090;0,97;1,22;0,92;1,05;1,31;1,08;1,04;1,00;;;;;;;;;;;;;760;8141021O8141023O;0,456;Ri1_ist_NachNK;- in Bearbeitung -;
8142;9194;AS Traunstein;9;BY;A;8;;8+1;Salzburg (A);AS Neukirchen;O;Rosenheim;AS Traunstein/Siegsdorf (B306);W;4;324;49.893;25.278;24.615;;;;;1,25;1,13;1,24;2.721;;795;;;;;;C;D;;;;;;;;;;779.331;5.304.225;;;;;45.871;23.816;22.055;;;;47,83063767;12,73266912;2.643;2.577;10,5;10,5;;;;;11,1;11,7;21.822;20.877;1,00;1,28;0,90;1,17;1,35;1,11;1,09;1,04;;;;;;;;;;;;;770;8141023O8142006O;6,453;Ri1_ist_NachNK;- in Bearbeitung -;
8136;9226;AS Weyarn;9;BY;A;8;;8+1;Rosenheim;AS Irschenberg (B472);O;München;AS Weyarn;W;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715.756;5.301.757;;;;;;;;;;;47,83293597;11,88316362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;8136012O8137012O;8,172;Ri1_ist_NachNK;- in Bearbeitung -;
7632;9960;Adelzhausen (O);9;BY;A;8;;8+1;München;AS Odelzhausen;O;Augsburg;AS Adelzhausen;W;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;659.453;5.356.560;;;;;;;;;;;48,34207751;11,15189083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;540;7632008O7633019O;1,734;Ri1_ist_NachNK;- in Bearbeitung -;
