speedLimit,avgPctForcedUnder,avgPctNaturallyUnder,avgPctAbove,avgPctRestricted,avgSpeedRestrictionKmh,avgPctSpeedRestriction,CO2eSavingsPct,CO2eSavingsAbs
60.0,66.91679823713336,12.221270872900496,17.776520168850922,96.56480310342727,63.45371914429295,49.85124490029169,24.32,5370.15
70.0,66.91679823713336,12.221270872900496,17.776520168850922,96.24445382552159,53.811015054193895,42.08726904012997,25.19,5562.69
80.0,66.91679823713336,12.221270872900496,17.776520168850922,95.65825800911502,44.21407464579571,34.3881690175569,24.67,5447.45
90.0,66.91679823713336,12.221270872900496,17.776520168850922,94.08072831181563,34.72367509568285,26.819502069642535,22.9,5056.87
100.0,66.91679823713336,12.221270872900496,17.776520168850922,91.46782054717328,25.42643979804272,19.464340415662658,19.9,4393.34
110.0,66.91679823713336,12.221270872900496,17.776520168850922,85.83953183576888,16.516427703897936,12.491549729049376,15.6,3444.06
120.0,66.91679823713336,12.221270872900496,17.776520168850922,72.59383025731553,8.493960366010892,6.317169682153784,10.03,2215.71
130.0,66.91679823713336,12.221270872900496,17.776520168850922,44.61743063037427,2.509070799737025,1.8246588645966226,3.96,873.94
